id,type,domain,enabled,date_added,date_modified,comment
4,0,audible.sc.omtrdc.net,1,1599874755,1610332845,"Added from Query Log"
5,1,js.atomicsearchwidget.com,1,1597627088,1609727846,"Added from Query Log"
6,2,(\.|^)tyates\.one$,1,1610883677,1613163967,""
7,1,events.mapbox.com,1,1610883860,1613163966,"Added from Query Log"
8,1,assets.adobedtm.com,1,1610883873,1613163966,"Added from Query Log"
9,1,firebaseremoteconfig.googleapis.com,1,1599879248,1609727846,"Added from Query Log"
11,1,kiteco.gallerycdn.vsassets.io,1,1597627553,1609727846,"Added from Query Log"
12,1,mn02-online-lobby-gate.mattel163.com,1,1599882436,1610332843,"Added from Query Log"
13,1,userlocation.googleapis.com,1,1599882444,1610332843,"Added from Query Log"
14,1,gzlrviampfo,1,1599884548,1610332843,"Added from Query Log"
16,1,3uc6h1j9-6a90f9a9a12eec86bfc91990c308bbe42ed5e810-mob.d.aa.online-metrix.net,1,1599884587,1610332843,"Added from Query Log"
18,3,(\.|^)ads\.adthrive\.com$,1,1598041239,1609727847,""
20,3,(\.|^)cursecdn\.com$,1,1598150503,1609727847,""
21,1,gtazjdosxuo,1,1599892372,1610332843,"Added from Query Log"
22,1,3uc6h1j9-e045d8a4e0096c485a3a8db1da00ca3a67ecad94-mob.d.aa.online-metrix.net,1,1599909256,1609727846,"Added from Query Log"
23,1,e.0.9.0.b.0.2.d.f.e.3.a.7.2.8.4.0.1.0.0.4.b.a.7.a.f.8.a.5.b.d.f.ip6.arpa,1,1601042796,1609727846,"Added from Query Log"
25,1,s-ring.msedge.net,1,1601157879,1609727846,"Added from Query Log"
26,0,vortex.hulu.com,1,1599978629,1613163967,"Added from Query Log"
29,1,newsstand.googleusercontent.com,1,1601260421,1609727846,"Added from Query Log"
30,1,r3---sn-q4flrn7y.gvt1.com,1,1601260452,1609727846,"Added from Query Log"
31,1,xtrapath3.izatcloud.net,1,1601260600,1609727846,"Added from Query Log"
32,1,vz-cdn.trafficjunky.net,1,1599980036,1609727846,"Added from Query Log"
33,1,r1---sn-q4fl6nle.gvt1.com,1,1599980866,1609727846,"Added from Query Log"
35,1,thor.komodia.com,1,1600118474,1609727846,"Added from Query Log"
37,2,www.addtoany.com,1,1600200518,1613163967,"Added from Query Log"
38,1,flatanalytics.com,1,1600200698,1609727846,"Added from Query Log"
40,1,e11.whatsapp.net,1,1600508316,1609727846,"Added from Query Log"
41,1,v.whatsapp.net,1,1600508327,1609727846,"Added from Query Log"
42,3,(\.|^)whatsapp\.com$,1,1600508462,1609727847,""
43,3,(\.|^)tiktok$,1,1600508474,1609727847,""
45,2,(\.|^)netflix\.com$,1,1600571822,1613163967,""
47,1,video-dfw5-1.xx.fbcdn.net,1,1601074095,1609727846,"Added from Query Log"
49,1,ramp.purch.com,1,1601261780,1609727846,"Added from Query Log"
52,3,(\.|^)https://ads\.trafficjunky\.net/$,1,1601502605,1609727847,""
53,3,(\.|^)afcpatrk\.com$,1,1601502609,1609727847,""
54,3,(\.|^)trafficjunky$,1,1601502640,1609727847,""
